id,nombre,nombre_en,categoria,estado,tipo_uso,grupo_intercambiable,calorias,proteina_g,carbohidratos_g,grasa_g,fibra_g,azucar_g,grasa_saturada_g,sodio_mg,indice_glucemico,tipo_proteina,apto_vegetariano,apto_vegano,comidas_recomendadas
1,Pollo,Chicken breast (cooked),Proteina,cocido,principal,ave,220,41.3,0.0,4.8,0.0,0.0,1.3,99,ninguno,animal,False,False,"desayuno,almuerzo,cena"
2,Pavo,Turkey breast (cooked),Proteina,cocido,principal,ave,180,40.0,0.0,1.3,0.0,0.0,0.4,133,ninguno,animal,False,False,"desayuno,almuerzo,cena"
3,Carne molida,Ground beef 80/20 (cooked),Proteina,cocido,principal,carne_roja,290,26.5,0.0,20.0,0.0,0.0,7.7,75,ninguno,animal,False,False,"almuerzo,cena"
4,Bistec,Beef sirloin steak (cooked),Proteina,cocido,principal,carne_roja,222,31.0,0.0,10.6,0.0,0.0,4.1,60,ninguno,animal,False,False,"almuerzo,cena"
5,Lomo de res,Beef tenderloin (cooked),Proteina,cocido,principal,carne_roja,247,30.0,0.0,13.2,0.0,0.0,5.0,55,ninguno,animal,False,False,"almuerzo,cena"
6,Cerdo,Pork loin (cooked),Proteina,cocido,principal,cerdo,242,27.6,0.0,13.9,0.0,0.0,4.8,62,ninguno,animal,False,False,"almuerzo,cena"
7,Pescado blanco,White fish tilapia (cooked),Proteina,cocido,principal,pescado_magro,128,26.0,0.0,2.3,0.0,0.0,0.8,56,ninguno,animal,False,False,"almuerzo,cena"
8,Jurel,Jack mackerel (cooked),Proteina,cocido,principal,pescado_graso,200,25.5,0.0,10.5,0.0,0.0,2.6,80,ninguno,animal,False,False,"almuerzo,cena"
9,Caballa,Atlantic mackerel (cooked),Proteina,cocido,principal,pescado_graso,262,23.9,0.0,17.8,0.0,0.0,4.2,83,ninguno,animal,False,False,"almuerzo,cena"
10,Salmon,Salmon (cooked),Proteina,cocido,principal,pescado_graso,208,22.1,0.0,12.4,0.0,0.0,3.1,59,ninguno,animal,False,False,"almuerzo,cena"
11,Atun,Tuna canned in water,Proteina,enlatado,principal,pescado_magro,116,26.0,0.0,1.0,0.0,0.0,0.3,247,ninguno,animal,False,False,"almuerzo,cena,snack"
12,Huevo,Egg whole (cooked),Proteina,cocido,principal,huevo,155,13.0,1.1,11.0,0.0,1.1,3.3,124,ninguno,animal,True,False,"desayuno,almuerzo,cena"
13,Proteina en polvo,Whey protein powder,Proteina,polvo,principal,suplemento,370,80.0,8.0,3.0,1.0,5.0,1.5,200,bajo,animal,True,False,"desayuno,snack"
14,Tarwi,Tarwi/Lupin,Proteina,cocido,principal,legumbre_proteica,151,17.3,12.6,4.7,4.0,1.0,0.5,6,bajo,vegetal,True,True,"almuerzo,cena,snack"
15,Arroz,White rice (cooked),Carbohidrato,cocido,principal,grano_blanco,130,2.7,28.0,0.3,0.4,0.1,0.1,1,alto,,True,True,"almuerzo,cena"
16,Papa,Potato (cooked),Carbohidrato,cocido,principal,tuberculo,87,1.9,20.1,0.1,1.8,0.9,0.0,5,alto,,True,True,"almuerzo,cena"
17,Camote,Sweet potato (cooked),Carbohidrato,cocido,principal,tuberculo,86,1.6,20.0,0.1,3.0,4.2,0.0,55,medio,,True,True,"desayuno,almuerzo,cena"
18,Yuca,Cassava (cooked),Carbohidrato,cocido,principal,tuberculo,160,1.4,38.1,0.3,1.8,1.7,0.1,14,alto,,True,True,"almuerzo,cena"
